"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000052039","850013249534","","","","Eco Vessel S.S. Straw Set Red & Blue","1","$2.55","$2.55","$4.59","44.44%"
"210000052106","897580001318","","","","Sunbeam Candles Beeswax Pillar Coexist In Love","1","$12.73","$12.73","$22.69","43.9%"
"210000052124","781723432117","","221903","","Bamboo Toast Tong","1","$1.25","$1.25","$1.99","37.19%"
"210000052154","","","","","Earthy Edith's Cozy Cabin Cleaner  Concentrate 8oz","2","$25.00","$12.50","$19.39","35.53%"
"210000052156","","","","","Earthy Edith's Cozy Dusting Spray  Concentrate 8oz","1","$9.50","$9.50","$14.69","35.33%"
"210000052225","812647015220","","","","Snack Time reusable sandwich bags avocado  (3) chico bag","1","$8.00","$8.00","$13.99","42.82%"
"210000052298","796515300482","","","","New Wave Enviro Alkaline Plus Lead Removal Wand","3","$18.90","$6.30","$11.49","45.17%"
"210000052426","724773202019","","235106","","Greener Things Tea Ball  2"" Boxed","1","$2.10","$2.10","$3.29","36.17%"
"210000052672","871242001786","","","","African Market Basket Natural Shoulder Bag G-142","1","$32.00","$32.00","$50.00","36%"
"210000053160","049347003312","","","","Sage Spirit White Sage Mini Torch","2","$14.02","$7.01","$13.99","49.89%"
"210000053162","049347003305","","","","Sage Spirit Secrets White Sage Mini Wand (3)","5","$35.05","$7.01","$13.99","49.89%"
"210000053165","770009001123","","","","If You Care #2 Coffee Filters","3","$8.88","$2.96","$4.69","36.89%"
"210000053237","732913449835","","","","Seventh Generation Dish Lqd. Lime & Gngr 19oz","1","$2.79","$2.79","$4.99","44.09%"
"210000053291","019962127342","","","","Wondercide Dog Shampoo Bar Hypoallergenic Aloe & Coconut","1","$0.01","$0.01","$11.39","99.91%"
"210000053344","796515500158","","","","New Wave EnviroStainless Steel Straw 4 Pack","5","$31.85","$6.37","$9.99","36.24%"
"210000053675","749174095145","","","","Ecos Vegetable Wash","1","$3.87","$3.87","$5.99","35.39%"
"210000053810","812647015206","","","","Chico Bag coral stripe","1","$5.99","$5.99","$11.49","47.87%"
"210000053857","897580001295","","","","Sunbeam Candles Tapers Hunter Green (1 Pair Hanging)","3","$18.75","$6.25","$10.29","39.26%"
"210000053945","736902284445","","","","Terra Headband Set","2","$8.80","$4.40","$7.95","44.65%"
"210000053953","619011956598","","","","Terra Jewelry Sleeve Set (3)","3","$21.36","$7.12","$12.95","45.02%"
"210000053955","619011956574","","","","Terra Sport Cosmetic Bag Medium","2","$11.00","$5.50","$9.95","44.72%"
"210000053959","","","","","Terra Sport  Bagguette","1","$7.68","$7.68","$13.95","44.95%"
"210000053988","053796404767","","227881","","RSVP Scrubby Cloths 3ct","1","$5.35","$5.35","$8.99","40.49%"
"210000054023","860002989112","","","","Moso Natural Air Purifying Bag 600 grms","1","$10.68","$10.68","$16.99","37.14%"
"210000054027","788832000091","","","","GladRags Organic Night Pad","1","$13.50","$13.50","$16.59","18.63%"
"210000054336","760860281086","","","","Aloha Bay Votive Rainbow Candle In Glass Holder","12","$33.48","$2.79","$4.69","40.51%"
"210000054398","752830883673","","","","Skoy Scrub 2 ct. Gray","2","$13.80","$6.90","$10.69","35.45%"
"210000054412","028901100933","","","","Norpro Compost Keeper Filter set","1","$3.59","$3.59","$5.59","35.78%"
"210000054862","9351383000318","","CRBLXL","","Boody Crop Leggings Black Extra Large","1","$11.01","$11.01","$17.99","38.8%"
"210000054874","9351383008758","","","","Mens Boody T-Shirt V-Neck Black Small","1","$17.77","$17.77","$20.99","15.34%"
"210000054876","9351383008871","","","","Mens Boody T-Shirt V-Neck Dark Marl Small","2","$35.54","$17.77","$20.99","15.34%"
"210000054886","9351383008901","","VWDMLL","","Mens Boody T-Shirt V-Neck Dark Marl X Large","1","$17.77","$17.77","$20.99","15.34%"
"210000054888","9351383008789","","","","Mens Boody T-Shirt V-Neck Black X Large","1","$17.77","$17.77","$20.99","15.34%"
